epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
27,1913.78,2.37142,1.50295,1.41133,0.01116,0.45252,0.12102,0.14314,0.05499,3.06667,2.25861,1.74786,0.02477,0.00557043,0.00185681,0.00557043,0.00185681,0.00557043,0.00185681,0.00557043,0.00185681
28,2006.8,2.25678,1.61877,1.42556,0.0115,0.32499,0.17834,0.16838,0.06312,2.95941,2.17859,1.69411,0.02306,0.00553765,0.00184588,0.00553765,0.00184588,0.00553765,0.00184588,0.00553765,0.00184588
29,2109.15,2.30923,1.46756,1.42248,0.01244,0.35121,0.16561,0.1712,0.05658,3.07998,2.13191,1.75167,0.02404,0.00550378,0.00183459,0.00550378,0.00183459,0.00550378,0.00183459,0.00550378,0.00183459
30,2208.85,2.287,1.52053,1.41764,0.01196,0.36633,0.18471,0.1594,0.05684,3.00937,2.14656,1.71638,0.02236,0.00546881,0.00182294,0.00546881,0.00182294,0.00546881,0.00182294,0.00546881,0.00182294
31,2306.38,2.22597,1.50825,1.46145,0.01195,0.38569,0.17196,0.16058,0.06673,2.94619,2.14795,1.71092,0.02246,0.00543278,0.00181093,0.00543278,0.00181093,0.00543278,0.00181093,0.00543278,0.00181093
32,2402.43,2.32124,1.54484,1.41053,0.01201,0.39846,0.16561,0.15864,0.06856,2.96578,2.1145,1.71628,0.02527,0.00539569,0.00179856,0.00539569,0.00179856,0.00539569,0.00179856,0.00539569,0.00179856
33,2496.32,2.35509,1.54553,1.40769,0.01235,0.33629,0.15287,0.14931,0.06396,3.07363,2.13608,1.71321,0.02697,0.00535757,0.00178586,0.00535757,0.00178586,0.00535757,0.00178586,0.00535757,0.00178586
34,2594.93,2.22941,1.3758,1.33915,0.01077,0.43898,0.15924,0.15347,0.06226,2.96027,2.15145,1.70953,0.02241,0.00531842,0.00177281,0.00531842,0.00177281,0.00531842,0.00177281,0.00531842,0.00177281
35,2689.5,2.24534,1.43588,1.37339,0.01227,0.33617,0.18471,0.15203,0.0634,2.88781,2.16475,1.71847,0.02034,0.00527828,0.00175943,0.00527828,0.00175943,0.00527828,0.00175943,0.00527828,0.00175943
36,2771.61,2.27212,1.46494,1.4113,0.01222,0.30994,0.17834,0.15292,0.05918,2.95876,2.27811,1.69819,0.02366,0.00523714,0.00174571,0.00523714,0.00174571,0.00523714,0.00174571,0.00523714,0.00174571
37,2843.21,2.21923,1.4229,1.35736,0.01096,0.41424,0.16561,0.16167,0.07606,2.82309,2.21345,1.68703,0.01978,0.00519504,0.00173168,0.00519504,0.00173168,0.00519504,0.00173168,0.00519504,0.00173168
38,2910.82,2.21,1.37402,1.32039,0.01126,0.44286,0.15924,0.15219,0.0661,2.8597,2.17461,1.67621,0.01901,0.00515198,0.00171733,0.00515198,0.00171733,0.00515198,0.00171733,0.00515198,0.00171733
39,2994.73,2.19198,1.39995,1.37248,0.00875,0.396,0.18471,0.15428,0.06032,3.04953,2.22228,1.69639,0.02209,0.005108,0.00170267,0.005108,0.00170267,0.005108,0.00170267,0.005108,0.00170267
40,3100.76,2.1518,1.35253,1.34068,0.01142,0.39415,0.19745,0.16726,0.06482,2.92009,2.17131,1.72364,0.02253,0.0050631,0.0016877,0.0050631,0.0016877,0.0050631,0.0016877,0.0050631,0.0016877
41,3181.65,2.12141,1.34327,1.39825,0.00963,0.33668,0.19108,0.15141,0.05855,3.0591,2.2316,1.71902,0.02291,0.00501732,0.00167244,0.00501732,0.00167244,0.00501732,0.00167244,0.00501732,0.00167244
42,3279.38,2.15693,1.34406,1.31039,0.00849,0.3333,0.18152,0.16609,0.0605,3.03561,2.23675,1.72979,0.02394,0.00497066,0.00165689,0.00497066,0.00165689,0.00497066,0.00165689,0.00497066,0.00165689
43,3346.73,2.25494,1.41084,1.35932,0.00964,0.3104,0.17197,0.14652,0.06286,2.94022,2.12168,1.71361,0.02331,0.00492315,0.00164105,0.00492315,0.00164105,0.00492315,0.00164105,0.00492315,0.00164105
44,3458.99,2.13064,1.30719,1.32221,0.00954,0.45644,0.17197,0.17303,0.06893,2.95974,2.12628,1.70137,0.02458,0.00487481,0.00162494,0.00487481,0.00162494,0.00487481,0.00162494,0.00487481,0.00162494
45,3557.42,2.12046,1.346,1.38102,0.00976,0.48838,0.17197,0.17036,0.07191,2.93408,2.09186,1.69174,0.02652,0.00482566,0.00160855,0.00482566,0.00160855,0.00482566,0.00160855,0.00482566,0.00160855
