epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,10225.7,3.16118,5.63285,1.75647,0.00604,0.6362,0.53461,0.56029,0.27412,3.08153,5.98596,1.87556,0.00356,0.0015248,0.0015248,0.0015248
38,10294.9,3.16368,5.57546,1.74241,0.00735,0.70978,0.5179,0.58741,0.27413,3.06653,5.69529,1.98952,0.00281,0.0015116,0.0015116,0.0015116
39,10396.5,3.17551,5.60618,1.7457,0.00662,0.64334,0.54673,0.57443,0.26024,3.1014,5.98936,1.94445,0.00336,0.0014984,0.0014984,0.0014984
40,10523.7,3.15035,5.59727,1.74327,0.00584,0.63117,0.52506,0.58099,0.28074,3.07397,5.67562,1.92536,0.00367,0.0014852,0.0014852,0.0014852
41,10665.6,3.12599,5.47726,1.72307,0.00641,0.68779,0.51074,0.57506,0.28717,2.9404,5.77911,1.85489,0.00293,0.001472,0.001472,0.001472
42,10815.9,3.13599,5.70033,1.76001,0.00945,0.65832,0.48742,0.56726,0.26534,3.15723,5.79505,1.97222,0.00334,0.0014588,0.0014588,0.0014588
43,11214.7,3.11861,5.6059,1.74643,0.00742,0.66067,0.48926,0.5542,0.26649,3.07598,5.79438,1.90045,0.00287,0.0014456,0.0014456,0.0014456
44,11275.9,3.07628,5.51561,1.73492,0.0061,0.63581,0.48926,0.54577,0.2635,3.06818,5.77661,1.88677,0.00289,0.0014324,0.0014324,0.0014324
45,12146.5,3.1625,5.55498,1.713,0.00701,0.59793,0.54304,0.56104,0.27994,3.00889,5.8286,1.91668,0.00331,0.0014192,0.0014192,0.0014192
46,13011.3,3.05678,5.55938,1.71599,0.00598,0.66026,0.49881,0.57851,0.28279,3.04934,5.60899,1.90366,0.00288,0.001406,0.001406,0.001406
47,13910.5,3.0224,5.31476,1.6997,0.00706,0.64457,0.5064,0.57106,0.27717,3.03624,5.75733,1.95315,0.00333,0.0013928,0.0013928,0.0013928
48,13965.5,3.00789,5.27583,1.71507,0.00611,0.64968,0.55325,0.59598,0.29033,2.9717,5.58002,1.86074,0.00338,0.0013796,0.0013796,0.0013796
49,14823.5,3.02776,5.28928,1.7278,0.00607,0.63651,0.56001,0.60363,0.29352,2.98433,5.59527,1.84565,0.00339,0.0013664,0.0013664,0.0013664
50,14881.8,2.99151,5.21795,1.67808,0.00682,0.65038,0.52506,0.57699,0.28622,2.96654,5.48468,1.89728,0.00269,0.0013532,0.0013532,0.0013532
51,15735.8,2.92639,5.0605,1.67638,0.00582,0.60553,0.57519,0.59655,0.30446,2.91631,5.52583,1.8395,0.00294,0.00134,0.00134,0.00134
52,15912.5,2.97563,5.21731,1.67206,0.00652,0.68865,0.53938,0.59936,0.29443,2.91078,5.50179,1.82222,0.00271,0.0013268,0.0013268,0.0013268
53,16365.3,2.91834,5.17129,1.67659,0.00642,0.63166,0.53699,0.58641,0.29762,3.02346,5.46343,1.88462,0.00353,0.0013136,0.0013136,0.0013136
54,16421.6,2.93237,5.25362,1.67286,0.0058,0.6219,0.57279,0.60645,0.29194,2.9327,5.46531,1.85713,0.00288,0.0013004,0.0013004,0.0013004
55,16657.6,2.90257,5.0291,1.64232,0.00539,0.73131,0.47733,0.57863,0.27893,3.00927,5.56552,1.93518,0.00259,0.0012872,0.0012872,0.0012872
56,17534.6,2.9628,5.02565,1.66536,0.00519,0.65982,0.53938,0.57878,0.30488,2.82915,5.60657,1.82224,0.00246,0.001274,0.001274,0.001274
57,17590.4,2.90298,4.92846,1.66346,0.00579,0.67175,0.58234,0.63004,0.31597,2.81194,5.2213,1.79863,0.0023,0.0012608,0.0012608,0.0012608
58,18421.6,2.91083,5.07804,1.65351,0.0074,0.66239,0.53381,0.61023,0.32089,2.85629,5.3666,1.83563,0.00261,0.0012476,0.0012476,0.0012476
59,18478.7,2.86629,4.88281,1.66092,0.00474,0.68467,0.56484,0.6217,0.31023,2.89232,5.38247,1.8159,0.00263,0.0012344,0.0012344,0.0012344
60,19415.5,2.91891,4.99509,1.6234,0.00636,0.71189,0.53699,0.59361,0.29981,2.86497,5.39331,1.83739,0.00236,0.0012212,0.0012212,0.0012212
61,19918.3,2.88739,4.86071,1.64726,0.00534,0.70085,0.56563,0.62093,0.32946,2.81331,5.21383,1.83472,0.00206,0.001208,0.001208,0.001208
62,20070.8,2.83348,4.83811,1.62629,0.00556,0.6477,0.56802,0.60608,0.31578,2.87749,5.35342,1.87595,0.00219,0.0011948,0.0011948,0.0011948
63,20131.2,2.81309,4.7921,1.63657,0.006,0.68639,0.54326,0.62997,0.32419,2.89048,5.33361,1.85082,0.0025,0.0011816,0.0011816,0.0011816
64,20206.1,2.84148,4.85528,1.62438,0.00707,0.70272,0.56415,0.61766,0.30522,2.9043,5.24282,1.87282,0.00252,0.0011684,0.0011684,0.0011684
65,20313.9,2.85346,4.92817,1.64194,0.00677,0.71033,0.53461,0.62239,0.30831,2.98643,5.58786,1.9244,0.00245,0.0011552,0.0011552,0.0011552
66,20437.1,2.90881,4.80357,1.59574,0.00546,0.66133,0.57995,0.62106,0.32133,2.89973,5.29383,1.85953,0.00268,0.001142,0.001142,0.001142
67,20582.5,2.82947,4.82609,1.608,0.00632,0.67558,0.56658,0.62479,0.33475,2.84139,5.35774,1.81989,0.0028,0.0011288,0.0011288,0.0011288
68,21138.7,2.76512,4.70195,1.63173,0.00495,0.73293,0.54654,0.63847,0.33403,2.7652,5.25786,1.79212,0.00219,0.0011156,0.0011156,0.0011156
69,21962.5,2.78839,4.7566,1.62249,0.00552,0.74535,0.52745,0.62239,0.31946,2.77833,5.18815,1.8144,0.00242,0.0011024,0.0011024,0.0011024
70,22042.5,2.81929,4.71384,1.57917,0.00485,0.71596,0.59905,0.64394,0.33546,2.71585,5.22108,1.79803,0.00239,0.0010892,0.0010892,0.0010892
71,23061.5,2.83356,4.80425,1.57999,0.00552,0.68967,0.58711,0.63806,0.32119,2.8503,5.2898,1.88376,0.00237,0.001076,0.001076,0.001076
72,23653,2.77001,4.75121,1.61163,0.00529,0.70459,0.55847,0.63145,0.33338,2.81947,5.31022,1.82668,0.00296,0.0010628,0.0010628,0.0010628
73,23713.1,2.72773,4.6117,1.58811,0.00474,0.74607,0.5189,0.60484,0.31871,2.82084,5.21647,1.8529,0.00288,0.0010496,0.0010496,0.0010496
74,23845.2,2.7818,4.65786,1.60098,0.00769,0.66281,0.58711,0.63018,0.3208,2.85013,5.19426,1.88444,0.00253,0.0010364,0.0010364,0.0010364
75,23931.9,2.7854,4.71139,1.59838,0.00597,0.75794,0.53699,0.63265,0.32498,2.93835,5.32592,1.93841,0.00254,0.0010232,0.0010232,0.0010232
76,24169.8,2.75454,4.6503,1.59737,0.00522,0.72358,0.54415,0.6333,0.31768,2.87702,5.20832,1.8917,0.00278,0.00101,0.00101,0.00101
77,24323.9,2.68394,4.58387,1.60601,0.00537,0.75822,0.57757,0.67684,0.34212,2.81004,5.10546,1.86308,0.00263,0.0009968,0.0009968,0.0009968
78,24740.2,2.66504,4.44335,1.57585,0.00418,0.67969,0.59427,0.62589,0.3271,2.7979,5.07135,1.85177,0.00243,0.0009836,0.0009836,0.0009836
79,25118,2.71313,4.496,1.5691,0.00535,0.67775,0.60859,0.65114,0.34752,2.76719,5.02709,1.82785,0.00223,0.0009704,0.0009704,0.0009704
80,25331.5,2.65146,4.48696,1.58471,0.00533,0.68825,0.53461,0.61221,0.32176,2.8885,5.40831,1.86221,0.00226,0.0009572,0.0009572,0.0009572
81,25433.5,2.68978,4.53212,1.56468,0.00489,0.66158,0.59905,0.62689,0.32867,2.83425,5.1211,1.83627,0.00256,0.000944,0.000944,0.000944
