epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
28,1345.18,2.74065,2.22008,1.70566,0.02051,0.19185,0.07643,0.05888,0.01747,4.15825,2.90879,2.1378,0.06556,0.00265776,0.00088592,0.00265776,0.00088592,0.00265776,0.00088592,0.00265776,0.00088592
29,1392.18,2.8363,2.11826,1.72003,0.02266,0.19957,0.0828,0.07195,0.02368,4.14238,2.90924,2.13721,0.0671,0.00247348,0.000824492,0.00247348,0.000824492,0.00247348,0.000824492,0.00247348,0.000824492
30,1439.22,2.82687,2.19286,1.69976,0.02256,0.21374,0.09554,0.06982,0.02472,4.11665,2.87001,2.1254,0.06421,0.00229139,0.000763797,0.00229139,0.000763797,0.00229139,0.000763797,0.00229139,0.000763797
31,1499.64,3.22153,2.56941,1.51867,0.02977,0.23079,0.09554,0.06014,0.01723,3.95942,2.90524,2.05925,0.05004,0.00211222,0.000704073,0.00211222,0.000704073,0.00211222,0.000704073,0.00211222,0.000704073
32,1545.44,3.13306,2.41062,1.46695,0.01926,0.29599,0.09554,0.06976,0.02333,3.91729,2.85383,2.03126,0.04879,0.00193667,0.000645557,0.00193667,0.000645557,0.00193667,0.000645557,0.00193667,0.000645557
33,1591.58,3.37318,2.7019,1.57457,0.03008,0.22329,0.10828,0.07318,0.0251,3.97831,2.85907,2.03159,0.0518,0.00176544,0.000588479,0.00176544,0.000588479,0.00176544,0.000588479,0.00176544,0.000588479
34,1638.44,3.22405,2.41727,1.50315,0.0233,0.24328,0.08917,0.06807,0.02576,3.90518,2.83425,2.03332,0.05352,0.00159919,0.000533064,0.00159919,0.000533064,0.00159919,0.000533064,0.00159919,0.000533064
35,1685.34,3.29178,2.50756,1.55757,0.02515,0.32479,0.08917,0.06797,0.02323,4.01717,2.8091,2.045,0.05768,0.00143859,0.000479531,0.00143859,0.000479531,0.00143859,0.000479531,0.00143859,0.000479531
36,1733.03,3.1658,2.32194,1.42209,0.01913,0.21845,0.09554,0.07901,0.0264,4.00102,2.76671,2.02965,0.05462,0.00128428,0.000428093,0.00128428,0.000428093,0.00128428,0.000428093,0.00128428,0.000428093
37,1780.54,3.22852,2.40751,1.44121,0.02533,0.25935,0.10191,0.0844,0.02573,3.94893,2.74068,2.00916,0.05299,0.00113685,0.00037895,0.00113685,0.00037895,0.00113685,0.00037895,0.00113685,0.00037895
38,1827.56,3.20701,2.47125,1.50085,0.02399,0.2445,0.09554,0.08262,0.02763,3.81025,2.65394,2.00237,0.04698,0.000996895,0.000332298,0.000996895,0.000332298,0.000996895,0.000332298,0.000996895,0.000332298
39,1874.77,3.26582,2.42845,1.48914,0.02281,0.22223,0.08917,0.07653,0.02698,3.83665,2.72981,2.01335,0.04967,0.000864963,0.000288321,0.000864963,0.000288321,0.000864963,0.000288321,0.000864963,0.000288321
40,1921.8,3.14413,2.22684,1.45658,0.02449,0.25396,0.09554,0.07637,0.02319,3.83234,2.71399,2.01104,0.04974,0.000741576,0.000247192,0.000741576,0.000247192,0.000741576,0.000247192,0.000741576,0.000247192
41,1968.96,3.11218,2.22133,1.45897,0.02137,0.21302,0.08917,0.07036,0.02295,3.88743,2.76262,2.01766,0.05361,0.00062722,0.000209073,0.00062722,0.000209073,0.00062722,0.000209073,0.00062722,0.000209073
42,2016.36,3.27282,2.32197,1.52552,0.02507,0.20254,0.09554,0.07416,0.02078,3.92068,2.74834,2.0088,0.05253,0.000522346,0.000174115,0.000522346,0.000174115,0.000522346,0.000174115,0.000522346,0.000174115
43,2064.52,3.12601,2.30565,1.46239,0.02391,0.20612,0.10828,0.06249,0.01731,3.95025,2.80648,2.01818,0.05553,0.000427369,0.000142456,0.000427369,0.000142456,0.000427369,0.000142456,0.000427369,0.000142456
44,2111.51,3.26146,2.36702,1.51594,0.0268,0.21089,0.09554,0.06055,0.01915,3.94355,2.79046,2.00986,0.05416,0.000342664,0.000114221,0.000342664,0.000114221,0.000342664,0.000114221,0.000342664,0.000114221
45,2158.61,3.07921,2.26539,1.53832,0.02397,0.20426,0.08917,0.06267,0.02172,3.94433,2.76932,2.00949,0.05288,0.000268564,8.95213e-05,0.000268564,8.95213e-05,0.000268564,8.95213e-05,0.000268564,8.95213e-05
46,2205.84,3.11084,2.11229,1.50763,0.02122,0.2411,0.09554,0.06499,0.02328,3.92319,2.73684,2.01736,0.05208,0.000205362,6.8454e-05,0.000205362,6.8454e-05,0.000205362,6.8454e-05,0.000205362,6.8454e-05
47,2253.1,3.14476,2.25294,1.47262,0.02127,0.19285,0.09554,0.06524,0.02263,3.91886,2.73881,2.01485,0.05075,0.000153308,5.11027e-05,0.000153308,5.11027e-05,0.000153308,5.11027e-05,0.000153308,5.11027e-05
48,2300.15,3.19479,2.28462,1.49539,0.02341,0.20559,0.08917,0.06933,0.02418,3.8845,2.76026,2.00425,0.05018,0.000112607,3.75356e-05,0.000112607,3.75356e-05,0.000112607,3.75356e-05,0.000112607,3.75356e-05
49,2347.03,3.18269,2.29387,1.49138,0.02363,0.2254,0.09554,0.07385,0.02508,3.88958,2.75614,2.00424,0.05019,8.34193e-05,2.78064e-05,8.34193e-05,2.78064e-05,8.34193e-05,2.78064e-05,8.34193e-05,2.78064e-05
50,2393.64,3.09344,2.1887,1.44672,0.02053,0.24543,0.09947,0.07596,0.02415,3.89094,2.76332,1.999,0.05072,6.58606e-05,2.19535e-05,6.58606e-05,2.19535e-05,6.58606e-05,2.19535e-05,6.58606e-05,2.19535e-05
