epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
38,8528.08,1.97139,1.57804,1.34678,0.00833,0.67318,0.44153,0.49338,0.24378,1.9252,1.62786,1.41976,0.00601,0.007558,0.007558,0.007558
39,8759.26,1.97439,1.58395,1.35587,0.00871,0.59922,0.50358,0.5085,0.27166,1.85321,1.52857,1.41972,0.0053,0.007492,0.007492,0.007492
40,9000.45,1.98667,1.57175,1.36684,0.00838,0.59002,0.44869,0.4869,0.27309,1.79035,1.53867,1.42749,0.00598,0.007426,0.007426,0.007426
41,9243.57,1.91593,1.54892,1.33782,0.00699,0.61182,0.47398,0.49535,0.27952,1.77979,1.4918,1.39507,0.00564,0.00736,0.00736,0.00736
42,9483.01,1.83704,1.46568,1.3095,0.00855,0.65813,0.47733,0.53546,0.33446,1.66105,1.42334,1.36919,0.00432,0.007294,0.007294,0.007294
43,9719.54,1.93045,1.5539,1.32972,0.00902,0.6362,0.47579,0.51357,0.28263,1.77142,1.47225,1.38847,0.00489,0.007228,0.007228,0.007228
44,9945.63,1.89388,1.58666,1.3286,0.00892,0.65153,0.47971,0.53074,0.29473,1.72119,1.62869,1.37322,0.00601,0.007162,0.007162,0.007162
45,10176.8,1.85681,1.51581,1.344,0.00893,0.67511,0.47114,0.5168,0.30195,1.73983,1.46738,1.41515,0.00721,0.007096,0.007096,0.007096
46,10406.9,1.85059,1.49183,1.30701,0.00739,0.65931,0.51074,0.54939,0.31732,1.72424,1.45741,1.36568,0.00626,0.00703,0.00703,0.00703
47,10629.4,1.81739,1.42082,1.3101,0.00706,0.66058,0.50597,0.55756,0.33945,1.71872,1.38497,1.3929,0.00584,0.006964,0.006964,0.006964
48,10857,1.77733,1.4232,1.30804,0.00695,0.68738,0.47229,0.52852,0.29327,1.78163,1.47905,1.44097,0.00481,0.006898,0.006898,0.006898
49,11066.3,1.89272,1.49181,1.34801,0.00887,0.65549,0.46539,0.51393,0.30056,1.75332,1.47068,1.39742,0.00602,0.006832,0.006832,0.006832
50,11291.6,1.91792,1.5788,1.35592,0.01064,0.56019,0.48639,0.48568,0.27555,1.81605,1.65581,1.46676,0.00647,0.006766,0.006766,0.006766
51,11507.7,1.92051,1.52002,1.36017,0.00759,0.57062,0.49403,0.50087,0.2871,1.73701,1.50461,1.39208,0.00513,0.0067,0.0067,0.0067
52,11734.3,1.92088,1.48484,1.3712,0.00883,0.74186,0.47326,0.54232,0.31651,1.6852,1.45542,1.37417,0.00462,0.006634,0.006634,0.006634
53,11950.9,1.86897,1.48232,1.32191,0.00909,0.64429,0.50119,0.54799,0.32339,1.67976,1.4261,1.37916,0.00613,0.006568,0.006568,0.006568
54,12170.7,1.79834,1.45423,1.27936,0.00844,0.63328,0.51074,0.53729,0.31234,1.67677,1.42506,1.35572,0.00593,0.006502,0.006502,0.006502
55,12392.6,1.84878,1.51367,1.31464,0.00857,0.60924,0.48926,0.52671,0.31636,1.69185,1.40701,1.40274,0.00581,0.006436,0.006436,0.006436
56,12608.2,1.83272,1.41021,1.30469,0.00721,0.6358,0.54177,0.55601,0.34789,1.62482,1.38995,1.34705,0.00473,0.00637,0.00637,0.00637
57,12818.5,1.75753,1.37464,1.2693,0.00804,0.75212,0.48519,0.56671,0.3367,1.64262,1.3485,1.33637,0.00573,0.006304,0.006304,0.006304
58,13024.9,1.79417,1.39862,1.25308,0.00675,0.7,0.48687,0.55534,0.34021,1.63992,1.37464,1.35465,0.00542,0.006238,0.006238,0.006238
59,13238.6,1.82746,1.4947,1.27343,0.00883,0.63367,0.51605,0.5435,0.30144,1.71209,1.45789,1.3338,0.00543,0.006172,0.006172,0.006172
60,13447.3,1.79057,1.40683,1.28288,0.00766,0.66998,0.49165,0.5392,0.32035,1.62739,1.41391,1.31882,0.00626,0.006106,0.006106,0.006106
61,13652,1.77626,1.44657,1.26864,0.00736,0.68154,0.50358,0.57003,0.34377,1.63736,1.32086,1.31919,0.00518,0.00604,0.00604,0.00604
62,13853.3,1.72274,1.39873,1.282,0.00645,0.66453,0.5179,0.54137,0.32971,1.61431,1.37648,1.32885,0.0053,0.005974,0.005974,0.005974
63,14060.2,1.74374,1.35377,1.28173,0.00725,0.66628,0.50835,0.56192,0.32967,1.59072,1.34277,1.34745,0.00462,0.005908,0.005908,0.005908
64,14277.6,1.73163,1.341,1.26782,0.00592,0.68248,0.48449,0.53093,0.30177,1.66746,1.62763,1.32258,0.00574,0.005842,0.005842,0.005842
65,14507.6,1.78559,1.36108,1.26294,0.00632,0.64403,0.5311,0.57338,0.34507,1.62852,1.36988,1.31408,0.00418,0.005776,0.005776,0.005776
66,14747.9,1.72408,1.36267,1.26542,0.00733,0.72318,0.48634,0.56758,0.34957,1.58662,1.33503,1.31102,0.00376,0.00571,0.00571,0.00571
67,14988.3,1.76017,1.35192,1.2563,0.00701,0.70855,0.50835,0.58397,0.32167,1.65055,1.33872,1.32447,0.00534,0.005644,0.005644,0.005644
68,15224,1.78186,1.34282,1.24683,0.00811,0.64656,0.52267,0.56975,0.33265,1.68634,1.33186,1.36054,0.00473,0.005578,0.005578,0.005578
69,15458.6,1.77313,1.35248,1.25117,0.00711,0.69983,0.52745,0.57475,0.35422,1.65794,1.30688,1.30653,0.00525,0.005512,0.005512,0.005512
70,15699.1,1.73987,1.33976,1.27025,0.00686,0.69949,0.53938,0.58765,0.33593,1.63965,1.31385,1.28487,0.00517,0.005446,0.005446,0.005446
71,15936.7,1.69017,1.28691,1.23425,0.00584,0.69922,0.50358,0.57433,0.34535,1.60082,1.27788,1.30144,0.00488,0.00538,0.00538,0.00538
72,16176.3,1.66141,1.26205,1.24411,0.00642,0.64333,0.5467,0.58141,0.3639,1.5657,1.24566,1.27527,0.00433,0.005314,0.005314,0.005314
73,16416.7,1.64731,1.19924,1.23261,0.00582,0.66939,0.54605,0.58931,0.35983,1.57972,1.31737,1.30823,0.00482,0.005248,0.005248,0.005248
74,16656.7,1.67282,1.29049,1.22105,0.00716,0.74902,0.52983,0.60922,0.36606,1.56957,1.26792,1.29417,0.00524,0.005182,0.005182,0.005182
75,16897.9,1.72526,1.30736,1.22246,0.00777,0.70491,0.52506,0.59732,0.35629,1.5758,1.26394,1.30202,0.00351,0.005116,0.005116,0.005116
76,17138,1.64914,1.23894,1.23137,0.00644,0.70335,0.53461,0.59146,0.35708,1.58721,1.26563,1.28569,0.0041,0.00505,0.00505,0.00505
77,17378.8,1.66701,1.27308,1.22168,0.00633,0.69518,0.53222,0.59189,0.36731,1.5498,1.29553,1.28586,0.00386,0.004984,0.004984,0.004984
78,17619.2,1.6479,1.28904,1.22576,0.00642,0.7102,0.55565,0.59176,0.37,1.53941,1.26755,1.29921,0.00407,0.004918,0.004918,0.004918
79,17860.6,1.62867,1.24133,1.21801,0.00606,0.72956,0.52745,0.59979,0.36671,1.5206,1.228,1.27957,0.00408,0.004852,0.004852,0.004852
80,18101.9,1.62165,1.19173,1.19933,0.00575,0.71712,0.53938,0.59546,0.36635,1.53631,1.28781,1.27785,0.00334,0.004786,0.004786,0.004786
81,18343.1,1.59762,1.22803,1.2143,0.00555,0.74463,0.52195,0.60101,0.36186,1.56287,1.25319,1.31906,0.00474,0.00472,0.00472,0.00472
82,18584.7,1.63454,1.22135,1.22052,0.00634,0.68176,0.53699,0.59451,0.37484,1.52427,1.26585,1.27437,0.0049,0.004654,0.004654,0.004654
83,18826.1,1.66619,1.29258,1.2377,0.00627,0.73013,0.49073,0.56842,0.36144,1.59243,1.32736,1.31893,0.00428,0.004588,0.004588,0.004588
