epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,5688.23,3.00092,6.14182,2.13486,0.01029,0.47872,0.44274,0.44804,0.19668,2.99283,6.1545,2.27558,0.00824,0.00184588,0.00184588,0.00184588
38,5855.16,2.9881,6.12168,2.11255,0.00974,0.56482,0.40811,0.43339,0.19388,3.02148,5.8653,2.33301,0.00722,0.00183745,0.00183745,0.00183745
39,6027.61,2.95364,5.90057,2.11992,0.00967,0.54081,0.41766,0.43813,0.19671,2.82511,5.92621,2.17308,0.00746,0.00182881,0.00182881,0.00182881
40,6195.51,2.96348,5.9658,2.09425,0.01031,0.59385,0.43437,0.47631,0.21212,2.82482,5.74443,2.1558,0.00635,0.00181997,0.00181997,0.00181997
41,6349.07,2.91188,5.8693,2.07669,0.00974,0.55219,0.47017,0.48565,0.22525,2.77171,5.51888,2.18411,0.00593,0.00181093,0.00181093,0.00181093
42,6507.51,2.88138,5.75029,2.07003,0.00849,0.58023,0.44866,0.48151,0.22911,2.77087,5.60851,2.15081,0.00773,0.00180169,0.00180169,0.00180169
43,6645.07,2.8606,5.87555,2.06764,0.00892,0.50058,0.43914,0.41669,0.1839,3.04132,6.2454,2.29418,0.00842,0.00179225,0.00179225,0.00179225
44,6799.96,2.85741,5.8648,2.10643,0.00963,0.54865,0.42005,0.44397,0.19821,2.96668,5.88251,2.20827,0.00677,0.00178263,0.00178263,0.00178263
45,6945.4,2.83165,5.802,2.08359,0.00884,0.57029,0.46244,0.47842,0.22311,2.86628,5.86956,2.21313,0.00658,0.00177281,0.00177281,0.00177281
46,7095.92,2.79914,5.79265,2.0536,0.00852,0.51467,0.49403,0.47727,0.23035,2.75054,5.56799,2.21886,0.00787,0.0017628,0.0017628,0.0017628
47,7240.04,2.83523,5.82655,2.05256,0.0092,0.59638,0.47253,0.49796,0.2428,2.75302,5.57816,2.18372,0.0071,0.00175261,0.00175261,0.00175261
48,7379.11,2.8308,5.71428,2.05685,0.00865,0.64206,0.43198,0.49591,0.24495,2.70631,5.41724,2.16045,0.00725,0.00174223,0.00174223,0.00174223
49,7525.77,2.76782,5.61052,2.02991,0.00901,0.55223,0.45585,0.47242,0.22779,2.85114,5.78203,2.22917,0.00627,0.00173168,0.00173168,0.00173168
50,7662.23,2.78693,5.73434,2.04757,0.00946,0.54175,0.44298,0.45086,0.2161,2.786,5.74212,2.18159,0.00696,0.00172095,0.00172095,0.00172095
51,7813.67,2.73008,5.46017,2.06105,0.00828,0.55069,0.48266,0.49095,0.2363,2.77423,5.65686,2.15905,0.00643,0.00171004,0.00171004,0.00171004
52,7960.53,2.84812,5.6608,2.02098,0.00876,0.62601,0.46341,0.49505,0.2315,2.70374,5.59927,2.19223,0.00558,0.00169895,0.00169895,0.00169895
53,8104.15,2.77998,5.53422,2.07508,0.00803,0.61609,0.46301,0.5049,0.25098,2.65404,5.47668,2.15888,0.00628,0.0016877,0.0016877,0.0016877
54,8258.63,2.77184,5.54428,2.03404,0.0087,0.54527,0.47733,0.4785,0.22778,2.77009,5.67982,2.16615,0.00731,0.00167628,0.00167628,0.00167628
55,8399.68,2.70875,5.32445,2.01573,0.00782,0.62149,0.45107,0.48204,0.22865,2.81607,5.56088,2.28227,0.00652,0.0016647,0.0016647,0.0016647
56,8544.42,2.69384,5.30709,2.02498,0.00765,0.63281,0.48449,0.51866,0.26243,2.62219,5.46942,2.13553,0.00584,0.00165295,0.00165295,0.00165295
57,8700.34,2.69832,5.28723,2.01455,0.00847,0.57249,0.49642,0.51304,0.25952,2.62371,5.625,2.12978,0.00634,0.00164105,0.00164105,0.00164105
58,8836.7,2.67624,5.28068,2.00114,0.00814,0.61901,0.4821,0.53164,0.25451,2.67542,5.34924,2.15468,0.0069,0.00162899,0.00162899,0.00162899
59,8979.48,2.60968,5.13574,1.99703,0.00718,0.71591,0.43304,0.52603,0.25292,2.6975,5.35019,2.19306,0.00572,0.00161678,0.00161678,0.00161678
60,9131.7,2.6834,5.37306,2.00311,0.00818,0.54745,0.43675,0.46364,0.20403,2.99279,5.78635,2.23708,0.00759,0.00160442,0.00160442,0.00160442
61,9264.74,2.73484,5.44365,2.07225,0.00855,0.5979,0.44391,0.48484,0.21276,2.93842,5.81161,2.33907,0.00547,0.00159191,0.00159191,0.00159191
62,9412.23,2.70145,5.42447,2.02067,0.00747,0.67387,0.41918,0.5029,0.23549,2.851,5.70621,2.17477,0.00622,0.00157926,0.00157926,0.00157926
63,9560.29,2.63138,5.1684,1.98169,0.00756,0.55494,0.50887,0.51372,0.23837,2.71433,5.53444,2.15946,0.00615,0.00156646,0.00156646,0.00156646
64,9710.6,2.66295,5.32178,1.98951,0.0079,0.58927,0.47017,0.52242,0.27206,2.63138,5.26629,2.14978,0.00624,0.00155353,0.00155353,0.00155353
65,9842.86,2.65209,5.31653,2.00741,0.00752,0.6358,0.44164,0.50888,0.25553,2.71856,5.47301,2.24013,0.00551,0.00154047,0.00154047,0.00154047
66,9985.85,2.60649,5.3417,1.99895,0.00745,0.66664,0.45823,0.52828,0.26623,2.60355,5.26538,2.19373,0.00558,0.00152727,0.00152727,0.00152727
67,10133.7,2.59327,5.20998,1.97951,0.00713,0.59595,0.47733,0.52051,0.26662,2.71826,5.70975,2.24709,0.00547,0.00151395,0.00151395,0.00151395
68,10282.3,2.70057,5.47215,2.01398,0.00821,0.64165,0.44869,0.50478,0.2428,2.70669,5.58855,2.26343,0.00622,0.0015005,0.0015005,0.0015005
69,10430.8,2.61607,5.25848,2.02505,0.00762,0.64383,0.50597,0.55124,0.28738,2.51455,5.15998,2.13145,0.00561,0.00148694,0.00148694,0.00148694
70,10571.1,2.60913,5.15639,1.98421,0.00746,0.60937,0.48399,0.53094,0.27788,2.53043,5.27038,2.14198,0.00576,0.00147325,0.00147325,0.00147325
71,10712.3,2.65832,5.26003,1.97798,0.00811,0.64384,0.45733,0.51542,0.25981,2.57149,5.47504,2.13103,0.00511,0.00145945,0.00145945,0.00145945
72,10867.3,2.62968,5.24178,1.99706,0.00752,0.58245,0.49642,0.52567,0.26115,2.58916,5.24935,2.17769,0.00451,0.00144554,0.00144554,0.00144554
73,11015.4,2.66766,5.33455,2.02435,0.00804,0.62713,0.48973,0.53552,0.27989,2.56508,5.26286,2.18748,0.00482,0.00143152,0.00143152,0.00143152
74,11167.7,2.61186,5.09959,1.99305,0.00716,0.61835,0.47255,0.51862,0.25812,2.60859,5.52479,2.13505,0.00491,0.0014174,0.0014174,0.0014174
75,11319.6,2.54739,5.21237,2.02441,0.00796,0.67995,0.46539,0.54697,0.28408,2.53234,5.34364,2.10696,0.00412,0.00140318,0.00140318,0.00140318
76,11472.8,2.52926,5.12824,1.97714,0.00701,0.60746,0.48926,0.53198,0.28344,2.52367,5.3435,2.15861,0.00455,0.00138886,0.00138886,0.00138886
77,11625.6,2.53884,5.05008,1.96956,0.00633,0.61379,0.4463,0.51887,0.2673,2.52919,5.50293,2.12385,0.00531,0.00137444,0.00137444,0.00137444
78,11778.5,2.57241,5.09647,1.99111,0.00657,0.65812,0.4821,0.54933,0.27455,2.54822,5.30692,2.18175,0.00492,0.00135994,0.00135994,0.00135994
79,11926.6,2.55018,5.11621,1.94128,0.00765,0.60273,0.49165,0.55097,0.29367,2.50759,5.13428,2.15269,0.00465,0.00134535,0.00134535,0.00134535
80,12076.3,2.54697,5.10682,1.97847,0.0078,0.69263,0.46788,0.55915,0.2915,2.50934,5.3299,2.1355,0.00587,0.00133068,0.00133068,0.00133068
81,12223.1,2.55657,5.00456,1.91244,0.00637,0.63497,0.48926,0.55006,0.28223,2.47433,5.08435,2.13088,0.00464,0.00131593,0.00131593,0.00131593
82,12375.1,2.50623,4.9681,1.96113,0.0066,0.58336,0.50126,0.54402,0.26149,2.6335,5.17709,2.22809,0.00427,0.0013011,0.0013011,0.0013011
83,12526.5,2.52765,5.01011,1.96226,0.00686,0.64804,0.45107,0.51127,0.23031,2.79701,5.50093,2.27467,0.00504,0.0012862,0.0012862,0.0012862
84,12672.5,2.52348,4.99143,1.9766,0.00672,0.66527,0.50358,0.57092,0.28384,2.60493,5.06282,2.12617,0.0054,0.00127123,0.00127123,0.00127123
85,12813.2,2.5719,5.08566,1.92563,0.00705,0.64109,0.49881,0.5706,0.28942,2.49051,5.15245,2.12401,0.00509,0.0012562,0.0012562,0.0012562
86,12962.8,2.45628,4.84462,1.93751,0.00624,0.65872,0.50597,0.57423,0.30384,2.46832,5.02482,2.16025,0.00497,0.00124111,0.00124111,0.00124111
87,13110.6,2.4815,5.00912,1.94594,0.00672,0.63348,0.48449,0.56401,0.28491,2.49752,5.06961,2.19162,0.00422,0.00122596,0.00122596,0.00122596
88,13250.9,2.45308,4.93844,1.9445,0.00617,0.68174,0.43966,0.52429,0.25779,2.69466,5.35211,2.31759,0.00546,0.00121076,0.00121076,0.00121076
89,13385.3,2.51626,5.00559,1.92624,0.00724,0.6479,0.49403,0.5655,0.30207,2.45161,4.96885,2.12086,0.00447,0.00119551,0.00119551,0.00119551
90,13549,2.43909,4.86671,1.91574,0.00625,0.62974,0.52267,0.57004,0.29058,2.49818,4.98516,2.13948,0.00419,0.00118021,0.00118021,0.00118021
91,13698.8,2.44998,4.82737,1.9162,0.00671,0.58238,0.50358,0.52888,0.2751,2.53303,5.38133,2.14938,0.00459,0.00116487,0.00116487,0.00116487
92,13846.1,2.47099,4.93138,1.94215,0.00692,0.66507,0.4821,0.55261,0.2967,2.51628,5.13079,2.20425,0.00445,0.00114949,0.00114949,0.00114949
93,14002.9,2.46062,4.90983,1.92154,0.00653,0.61464,0.50119,0.55437,0.2895,2.4979,5.24694,2.17951,0.00544,0.00113408,0.00113408,0.00113408
94,14145.6,2.48669,4.89861,1.93706,0.00602,0.62658,0.49881,0.54688,0.27839,2.58008,5.38584,2.34627,0.00379,0.00111864,0.00111864,0.00111864
95,14303.3,2.52983,5.005,1.9736,0.00677,0.69388,0.46301,0.56581,0.30744,2.47087,5.22926,2.16919,0.00361,0.00110317,0.00110317,0.00110317
96,14454.2,2.45603,4.91818,1.95406,0.0066,0.62718,0.49642,0.54791,0.28554,2.48756,5.15553,2.18916,0.00396,0.00108767,0.00108767,0.00108767
97,14589.6,2.40753,4.7334,1.93736,0.00616,0.72032,0.47733,0.57549,0.29867,2.47804,5.09204,2.17096,0.00367,0.00107216,0.00107216,0.00107216
98,14738.5,2.44073,4.80278,1.92667,0.00674,0.71539,0.45346,0.53944,0.27101,2.63706,5.40239,2.24453,0.00462,0.00105664,0.00105664,0.00105664
99,14888.2,2.44452,4.79896,1.91194,0.00646,0.73667,0.4607,0.5567,0.29967,2.40015,5.11302,2.14124,0.0043,0.0010411,0.0010411,0.0010411
100,15036.1,2.49132,4.86981,1.92029,0.00638,0.66542,0.47733,0.54847,0.28703,2.52707,5.2394,2.27324,0.00507,0.00102555,0.00102555,0.00102555
101,15193.5,2.43035,4.707,1.90612,0.00616,0.65187,0.50052,0.55652,0.27836,2.47774,5.1236,2.1424,0.00488,0.00101,0.00101,0.00101
102,15340.4,2.43361,4.78514,1.91068,0.00663,0.70953,0.48687,0.576,0.31049,2.41119,4.90479,2.11034,0.00476,0.00099445,0.00099445,0.00099445
103,15491.3,2.43313,4.74831,1.90857,0.00684,0.61368,0.50835,0.56515,0.30247,2.42611,5.00277,2.19171,0.00456,0.000978903,0.000978903,0.000978903
104,15653.5,2.46058,4.81508,1.89081,0.00614,0.62707,0.49165,0.55162,0.28771,2.51262,5.27454,2.24318,0.00367,0.000963365,0.000963365,0.000963365
105,15804.6,2.43356,4.81022,1.96412,0.00608,0.68374,0.46955,0.56337,0.28539,2.51531,5.01781,2.22959,0.00459,0.000947837,0.000947837,0.000947837
106,15950.6,2.41976,4.86614,1.94479,0.0054,0.73509,0.45823,0.55721,0.28359,2.52369,5.21136,2.21306,0.00525,0.000932325,0.000932325,0.000932325
107,16109.9,2.44697,4.80616,1.91136,0.00644,0.65201,0.50532,0.56935,0.30343,2.4362,5.00216,2.20175,0.0042,0.000916833,0.000916833,0.000916833
108,16257.8,2.35617,4.61875,1.88795,0.00521,0.66028,0.52506,0.58139,0.30875,2.44366,5.07759,2.1628,0.00536,0.000901363,0.000901363,0.000901363
109,16414,2.42218,4.74106,1.92051,0.00547,0.65085,0.53833,0.58298,0.30168,2.47816,5.0262,2.23185,0.00461,0.00088592,0.00088592,0.00088592
110,16567.5,2.41423,4.74184,1.93789,0.00647,0.68888,0.50358,0.58444,0.30905,2.41289,5.02005,2.14527,0.00389,0.000870508,0.000870508,0.000870508
111,16718.3,2.35372,4.71072,1.93325,0.00604,0.69567,0.52373,0.58532,0.31378,2.36446,4.91186,2.15584,0.00394,0.00085513,0.00085513,0.00085513
112,16884,2.33382,4.60089,1.91219,0.00504,0.71933,0.48926,0.58957,0.31466,2.39194,4.81154,2.18188,0.00435,0.00083979,0.00083979,0.00083979
113,17022.4,2.3673,4.63449,1.9346,0.00635,0.66086,0.48687,0.56014,0.29358,2.50551,5.23915,2.28017,0.00355,0.000824492,0.000824492,0.000824492
114,17179.8,2.40862,4.72962,1.91264,0.00508,0.6805,0.50119,0.57477,0.30677,2.50481,5.0017,2.22469,0.00476,0.000809241,0.000809241,0.000809241
115,17342.3,2.35902,4.58227,1.87014,0.00567,0.64488,0.5179,0.5626,0.28664,2.54941,5.09855,2.26469,0.00487,0.000794038,0.000794038,0.000794038
116,17507,2.3032,4.52589,1.90625,0.00536,0.6617,0.50358,0.56419,0.29259,2.46513,5.22079,2.19207,0.00409,0.000778889,0.000778889,0.000778889
117,17663,2.35585,4.62398,1.92003,0.00628,0.66543,0.53699,0.59546,0.30376,2.48551,5.06611,2.28868,0.00374,0.000763797,0.000763797,0.000763797
118,17827.8,2.30371,4.50019,1.88386,0.00562,0.67009,0.52355,0.59256,0.29772,2.47382,4.95908,2.22124,0.00419,0.000748766,0.000748766,0.000748766
119,17980.5,2.31728,4.40422,1.84384,0.00489,0.60935,0.53461,0.57389,0.29147,2.58893,5.15449,2.33904,0.0043,0.000733799,0.000733799,0.000733799
120,18132,2.3579,4.51776,1.91603,0.00511,0.65525,0.5262,0.58221,0.28826,2.5533,5.07249,2.25704,0.00452,0.0007189,0.0007189,0.0007189
121,18293.9,2.3361,4.48312,1.88832,0.00535,0.67338,0.52029,0.59194,0.31423,2.39429,4.97722,2.22241,0.00446,0.000704073,0.000704073,0.000704073
122,18455.2,2.28836,4.43797,1.86469,0.00487,0.66682,0.54931,0.6107,0.32681,2.38743,4.84472,2.28271,0.004,0.000689322,0.000689322,0.000689322
123,18608.5,2.34368,4.46584,1.8826,0.00584,0.62483,0.53661,0.57107,0.30303,2.45913,5.07968,2.23756,0.00459,0.000674649,0.000674649,0.000674649
124,18777.7,2.35022,4.56655,1.90382,0.00664,0.68072,0.5241,0.59262,0.3108,2.4587,4.997,2.22967,0.00535,0.00066006,0.00066006,0.00066006
125,18948.3,2.31191,4.4918,1.87031,0.00573,0.67065,0.54893,0.60486,0.32235,2.43454,4.94507,2.27213,0.00517,0.000645557,0.000645557,0.000645557
126,19110.2,2.26901,4.44983,1.83913,0.00628,0.66293,0.52029,0.58942,0.30589,2.40665,5.09828,2.26124,0.00528,0.000631143,0.000631143,0.000631143
127,19259.4,2.35366,4.59931,1.87358,0.00595,0.67849,0.52745,0.58872,0.30747,2.45917,5.01346,2.26523,0.00513,0.000616824,0.000616824,0.000616824
128,19406.7,2.30476,4.51466,1.88358,0.0055,0.69948,0.52983,0.6023,0.3134,2.45567,4.97459,2.25752,0.00475,0.000602601,0.000602601,0.000602601
129,19568.6,2.2895,4.52784,1.89075,0.00586,0.73243,0.49881,0.6076,0.32208,2.41987,4.9659,2.27869,0.00496,0.000588479,0.000588479,0.000588479
130,19713.3,2.31147,4.62757,1.91103,0.00617,0.676,0.51787,0.59783,0.32547,2.34676,4.91334,2.21675,0.00493,0.00057446,0.00057446,0.00057446
